-13.273,-13.445,-15.86,-17.163,-17.63,-20.754,-19.464,-25.792,3.2301,0.085485,2.2262,0.067621,0.95476,0.55471,0.0091344
-16.74,-16.891,-19.431,-20.497,-21.493,-23.984,-24.314,-29.707,3.3741,0.046419,1.5379,0.075789,1.443,1.4111,0.0084377
-13.091,-13.258,-17.31,-18.581,-20.144,-23.054,-23.189,-29.079,3.4666,0.082949,0.67318,0.083909,1.9367,1.1621,0.0080785
-18.611,-18.744,-21.672,-22.474,-23.784,-25.523,-26.629,-30.756,3.2896,0.021802,1.9067,0.021577,1.7972,0.529,0.0062784
-16.928,-17.077,-21.302,-22.076,-23.444,-25.165,-26.547,-30.752,3.3644,0.034372,2.5452,0.038506,2.8724,1.2258,0.0080755
-14.619,-14.777,-17.402,-18.582,-19.493,-22.24,-21.861,-27.612,3.2375,0.052366,1.7137,0.05618,1.2957,0.70255,0.008722
-10.94,-11.12,-14.929,-16.397,-17.857,-21.344,-20.445,-27.14,3.2243,0.079383,1.4792,0.081784,1.6268,0.71351,0.0056998
-12.18,-12.365,-17.867,-19.169,-21.62,-24.202,-25.165,-30.257,3.2199,0.087575,2.5632,0.077224,2.378,1.1604,0.0068803
-21.352,-21.502,-22.97,-24.06,-24.604,-27.209,-27.841,-33.149,3.4548,0.074293,0.92917,0.028273,1.2053,1.2606,0.0040069
-17.123,-17.326,-21.067,-22.465,-23.797,-26.818,-26.617,-32.574,3.3115,0.089841,2.2727,0.033959,0.9347,0.82038,0.0028501
-10.993,-11.158,-16.496,-17.767,-20.074,-22.861,-23.301,-28.85,3.6158,0.064166,1.2536,0.050657,2.3516,0.57305,0.0080773
-19.571,-19.785,-23.594,-25.17,-25.817,-29.542,-27.566,-34.808,3.47,0.060857,2.5454,0.039777,0.62215,0.82666,0.00070804
-19.297,-19.507,-22.593,-24.257,-24.946,-28.976,-27.234,-34.81,3.2162,0.07411,1.998,0.086692,0.63346,1.4008,0.00058877
-21.219,-21.328,-22.274,-23.098,-23.538,-25.725,-26.147,-31.206,3.2796,0.040928,1.077,0.05678,0.70713,1.3985,0.0062193
-22.413,-22.589,-26.103,-27.42,-28.825,-31.821,-31.951,-37.965,3.6759,0.033257,1.6686,0.025907,1.6939,1.1953,0.001142
-16.241,-16.429,-21.132,-22.591,-24.758,-27.98,-28.192,-34.295,3.2534,0.064547,2.0627,0.048523,1.9486,1.0644,0.0019485
-13.515,-13.69,-18.518,-19.652,-21.63,-23.807,-25.151,-29.608,3.6198,0.088977,2.1484,0.029146,2.6042,0.60924,0.009357
-14.546,-14.702,-16.683,-17.938,-18.233,-21.406,-19.953,-26.58,3.5124,0.028767,2.4763,0.075937,0.9646,0.75777,0.0082004
-17.013,-17.171,-22.246,-23.209,-24.799,-26.905,-27.896,-32.745,3.7,0.027854,2.2856,0.046888,2.8729,1.3939,0.0055447
-22.93,-23.104,-24.763,-26.064,-26.561,-29.575,-30.435,-35.975,3.3136,0.084659,0.86277,0.02025,1.7062,1.4909,0.0019749
-19.442,-19.639,-23.231,-24.66,-25.475,-28.892,-27.354,-34.226,3.6668,0.046091,2.7669,0.028055,1.0118,0.66179,0.0011457
-15.738,-15.893,-20.492,-21.4,-23.136,-24.963,-26.351,-30.549,3.3099,0.035826,1.8592,0.036688,2.5794,0.88238,0.0073675
-16.181,-16.364,-20.114,-21.519,-23.074,-26.287,-26.071,-32.387,3.3612,0.061131,1.9831,0.078909,1.5722,1.3967,0.0032323
-20.934,-21.098,-24.424,-25.683,-26.934,-29.88,-29.858,-35.864,3.6848,0.03635,1.1968,0.025708,1.6894,0.9392,0.0016862
-21.811,-21.874,-22.399,-22.943,-23.473,-25.188,-26.329,-30.702,3.4035,0.026809,0.78047,0.022584,0.90596,1.4805,0.008638
-13.223,-13.383,-17.356,-18.544,-20.117,-22.867,-22.894,-28.757,3.6831,0.026199,2.4651,0.07253,1.8604,1.0593,0.0092592
-18.132,-18.361,-22.669,-24.291,-26.184,-29.547,-30.222,-36.254,3.6879,0.084416,2.1778,0.022217,1.1613,1.1968,0.0017634
-13.748,-13.914,-17.445,-18.654,-20.067,-22.745,-23.082,-28.558,3.2108,0.068915,1.0816,0.081496,1.768,1.1398,0.0091306
-18.2,-18.423,-24.079,-25.902,-29.257,-33.675,-34.972,-42.825,3.2071,0.087561,2.3401,0.024993,1.9598,1.2405,3.3089e-05
-18.591,-18.736,-22.798,-23.584,-24.88,-26.673,-27.961,-32.27,3.3083,0.022697,0.74382,0.042212,2.7214,1.398,0.0057036
-14.308,-14.478,-18.533,-19.684,-21.38,-23.791,-24.394,-29.463,3.4917,0.070803,2.3618,0.036153,1.8713,0.64539,0.0078667
-16.282,-16.463,-19.282,-20.684,-21.373,-24.815,-23.447,-30.428,3.5894,0.053097,2.4265,0.085855,1.0433,1.2329,0.0035327
-16.201,-16.393,-20.417,-21.773,-23.262,-26.308,-26.095,-32.319,3.6582,0.066097,2.6249,0.061625,1.4508,1.3325,0.0038955
-18.056,-18.203,-20.201,-21.25,-22.031,-24.511,-24.974,-30.23,3.3572,0.075508,1.0043,0.042839,1.3342,1.0621,0.0069881
-11.998,-12.176,-16.3,-17.743,-19.428,-22.873,-22.103,-28.852,3.4521,0.063023,2.0644,0.076968,1.6993,0.866,0.0045591
-7.0871,-7.2645,-14.133,-15.636,-19.235,-22.831,-22.76,-29.488,3.3456,0.029934,2.4734,0.082533,2.6236,0.55592,0.0026338
-16.448,-16.59,-19.296,-20.244,-21.329,-23.492,-24.328,-29.071,3.2201,0.078609,0.6175,0.044099,1.7279,0.93884,0.0091514
-13.746,-13.936,-19.899,-21.32,-23.989,-26.861,-28.113,-33.362,3.2708,0.088819,2.0104,0.073969,2.7736,1.3964,0.0035778
-19.278,-19.432,-22.832,-23.697,-25.099,-26.905,-28.428,-32.534,3.2704,0.051144,2.0544,0.021915,2.3939,1.043,0.0049266
-15.431,-15.605,-18.254,-19.394,-19.851,-22.655,-21.833,-28.02,3.6491,0.0657,2.9636,0.072458,0.78814,1.0045,0.0093736
